JOB DESCRIPTION	JOB CATEGORY
"JOB Position: Accountant Manager JOB Description: Need to expertise in Tally software, maintaining excel books and able to file statutory compliance's individually on a monthly basis. Job Type: Full-time Salary: ₹5,000.00 to ₹16,000.00 /month Experience: bookkeeping: 1 year (Preferred) work: 1 year (Preferred) Accounting: 1 year (Preferred) Education: Bachelor's (Preferred)"	0
"Job Summary We are an outsourcing company working for clients based around the world. We are looking for an accountant to join our UK bookkeeping team. You must be willing to work UK business hours i.e. 12 pm to 8:30 pm (2:30 pm to 11:00 pm for male candidates) and have good command in English. Responsibilities and Duties Verify, allocate, post and reconcile transactions. Produce error-free accounting reports and present their results. Analyze financial information and summaries financial status. Develop and document business processes and accounting policies to maintain and strengthen internal controls. Manage the daily task assigned by the client. Maintain team performance standards to quality service and performance. Required Experience, Skills and Qualifications A minimum 06-12 months of working experience. Excellent English Communication skills- both verbal and written. Degree in Accounting, Finance or relevant. Thorough knowledge of basic accounting procedures and principles awareness of business trends. Excellent accounting software user and administration skills. Accuracy and attention to detail. Preferred Male candidates Job Type: Full-time Salary: ₹18,000.00 to ₹25,000.00 /month Education: Bachelor's (Preferred) Location: Bhilai, Chhattisgarh (Preferred) Language: English (Preferred)"	0
"Wells Fargo & Company (NYSE: WFC) is a leading global financial services company with $2.0 trillion in assets and offices in over 37 countries. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides asset management, capital raising and advisory, financing, foreign exchange, payments, risk management, and trade finance services to support customers who conduct business in the global economy. At Wells Fargo, we want to satisfy our customers’ financial needs and help them succeed financially. We also value the viewpoints of our team members and encourage them to be their best. Join our diverse and inclusive team where you will feel valued and inspired to contribute your unique skills and experience. We are looking for talented people who will put our customers at the center of everything we do. Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you. Learn more at our International Careers website. Market Job Description About Enterprise Global Services Enterprise Global Services (EGS) enables global talent capabilities for Wells Fargo Bank NA., by supporting over half of Wells Fargo's business lines and staff functions across Technology, Business Services, Risk Services and Knowledge Services. EGS operates in Hyderabad, Bengaluru and Chennai in India and in Manila, Philippines. Learn more about EGS at our International Careers website. Department Overview The Risk Services aligns to the Corporate services organization and supports the current, expected demand for business process risk management. The Risk Services team supports line of business risk management and the corporate risk management. About the Role You will work for testing and monitoring of a risk-based compliance program to assure compliance with agency, legal and regulatory requirements. Responsibilities Responsible for validating corrective action plans after completion to verify risks associated with identified issues are mitigated Works with assigned business units and provides compliance risk consulting for projects and initiatives with moderate to high risk to identify, assess and mitigate regulatory risk in all business activities. Develop testing strategies and methodologies; evaluates the adequacy and effectiveness of policies, procedures, processes, initiatives, products and internal controls and identifies issues resulting from internal and/or external compliance examinations and operational risk considerations listed above Analyze business and/or systems changes to determine impact; identifies and assesses risk issues and assigns risk ratings consistent with established policy standards Consults with business to develop corrective action plans and monitor corrective action to completion Reports findings and drafts recommendations to compliance, risk, and business line management Exhibit credible challenge and evaluate the adequacy and effectiveness of policies, procedures, processes and internal controls while maintaining professional independence throughout the testing engagement Document end to end process flows including dependencies, risks, controls, inputs/outputs, systems, gap identification, etc. Provide risk management expertise and potential solutions to identified gaps and associated risks to the line of business. Market Skills and Certifications Minimum Requirements: Minimum 6 years of experience with four years’ experience in a financial services compliance, risk management, or audit role. Proficient with Microsoft Word, Power Point, Access, and Excel CA,CPA, CWA, CIA or equivalent Desired Skills: Prior compliance, operational risk testing or audit experience Prior experience using compliance systems for controls testing, monitoring Experience in designing and executing test instructions or quality assurance reviews to assess controls or process effectiveness. Experience with risk management tools Working knowledge of regulatory compliance (for instance, Companies Act, Income Tax Act-India, SEZ Laws-India etc) Vastly experienced in having drafted Audit Reports / Compliance Activity Reports Advanced degree or professional certification (CA, CIA, CPA) Ability to develop and foster partnerships and influence change Adaptable to a dynamic work environment with multiple priorities and strict timelines and able to organize for responsiveness and efficiency Proven ability to work within a team environment as well as individual accountability Experience working knowledge in large complex organizations Extremely well organized with the ability to manage large initiatives concurrently Strong analytical skills Excellent written and verbal communication skills Ability to work well in a team environment The candidate should be flexible with the work timings We Value Diversity At Wells Fargo, we believe in diversity and inclusion in the workplace; accordingly, we welcome applications for employment from all qualified candidates, regardless of race, color, gender, national or ethnic origin, age, disability, religion, sexual orientation, gender identity or any other status protected by applicable law. We comply with all applicable laws in every jurisdiction in which we operate. Region APAC"	0
We require Chief Accountant with Computer knowledge and well experience in Construction Business. For Resume Please email us at info@surajic.com	0
"We require candidate to handle Accounts independently for all the company Statutory. Job Location : Chennai - Villivakkam Job Type: Full-time Salary: ₹30,000.00 to ₹50,000.00 /month Experience: Accounting: 1 year (Preferred) Education: Secondary(10th Pass) (Preferred)"	0
"We are looking for an Accountant to manage all financial transactions, from fixed payments and variable expenses to bank deposits and budgets. Accountant responsibilities include auditing financial documents and procedures, reconciling bank statements and calculating tax payments and returns. To be successful in this role, you should have previous experience with bookkeeping and a flair for spotting numerical mistakes. Ultimately, you will provide us with accurate quantitative information on financial position, liquidity and cash flows of our business, while ensuring we’re compliant with all tax regulations. Responsibilities: Manage all accounting transactions Prepare budget forecasts Publish financial statements in time Handle monthly, quarterly and annual closings Reconcile accounts payable and receivable Ensure timely bank payments Compute taxes and prepare tax returns Manage balance sheets and profit/loss statements Report on the company’s financial health and liquidity Audit financial transactions and documents Reinforce financial data confidentiality and conduct database backups when necessary Comply with financial policies and regulations Requirements: Work experience as an Accountant Excellent knowledge of accounting regulations and procedures, including the Generally Accepted Accounting Principles (GAAP) Advanced MS Excel skills including Vlookups and pivot tables Experience with general ledger functions Strong attention to detail and good analytical skills BSc in Accounting, Finance or relevant degree Additional certification (CPA or CMA) is a plus Job Type: Full-time Salary: ₹12,000.00 to ₹20,000.00 /month Experience: bookkeeping: 1 year (Preferred) work: 1 year (Preferred) Accounting: 1 year (Preferred) Education: Higher Secondary(12th Pass) (Required)"	0
"Job Summary Job Summary Minimum 2 years of Experience as a bookkeeper. Must be proficient in Excel and MS Office. Must know General Ledger, Balance sheet, income statement. Must know bank Reconciliation Must Know Accounts Payable, Receivable. Job Type: Full-time Salary: Rs 25,000.00 to Rs 35,000.00 /month Job Type: Full-time Experience: work: 2 years (Preferred) accounting: 2 years (Preferred) Education: Bachelor's (Preferred)"	0
"Experience: 1 - 6 years Skills: Accountant, Accounts manager, Senior accountant, Balance Sheet, Profit & Loss, P & L, Finalisation Of Accounts, Trial Balance, Balance Sheet Finalisation, Balance Sheet Analysis Industry: Any Functional Area: Finance & Accounts Job Description Book keeping, Preparation of balance sheet & P&L accounts, Bank Reconciliation, Fixed Asset Accounting, Solving client queries related to accounts if any, Job Type: Full-time Salary: ₹20,000.00 to ₹25,000.00 /month Experience: work: 2 years (Preferred) Accounting: 2 years (Preferred) general ledger: 2 years (Preferred) Education: Bachelor's (Preferred)"	0
"Job Summary Head Accountant and Finance Controller Responsibilities and Duties Heading the entire Finance and Accounting function by leading a team. To lead and manage Financial Accounting and Reporting activities for the organization Develop, implement and maintain a system for measuring the financial and operating performance of the Company, each project including sales, revenues, and project, gross and net profit margins. Preparing various dash boards (MIS reports) which includes Daily/Weekly/Monthly and other such reports for management for effective decision making. Preparation of Monthly/Quarterly Balance Sheet and Profit & Loss statements and Finalization. Banking Related – Responsible for submission of monthly stock statement to banks. Responsible for foreign remittance payment Responsible for letter of credit, bank guarantee opening, limits maintaining statements Handling stock auditors of banks Any other job given by the management Visit banks to sort out issues, BRS entries etc Day to day banking matters andTo assist in preparation of statements for audit purposes Daily checking of billing (from sauda system) and payables/receivables across all lines of business. Oversees cash flow planning and ensure availability of funds as needed. Tracking advance payments to vendors and adjusting the same against the liabilities due. Managing and maintaining the entire accounts of the in compliance with accounting procedures and policies, quarterly and annual Balance Sheets of the Company Compliance: Ensures that effective internal controls are in place and ensures compliance with all applicable laws, state and local regulatory laws and rules for financial and tax reporting. Periodical Return filing of all compliances like TDS,Vat,Service Sax,Sales Tax,GST Returns before due dates. Conducting Variance analysis and trend analysis of Fixed and variable expenses and identify mis-allocation of expenses and correct it. Should be very sound with accounting logic. Conduct analysis of existing work flow at regular intervals and initiate to set up new processes and systems and implement it. Good knowledge of tally accounting system & ability to pick up any proprietary, accounts and compliance software. Computer Skills. Very good knowledge of Excel (pivot chart , VLookup , Slicer, Formulas etc) To maintain to-do list & coordinate with all stake holders such as buyer,seller,supplier,management, internal team etc. Should have positive mindset, leadership skills, flexibility, adaptability and multitasking ability. Good presentation skills. Multitasking skills Qualifications and Skills Chartered Accountant , Inter CA , MBA in Finance & Accounts , candidate with excellent accounting and leadership skills. Job Type: Full-time Salary: ₹40,000.00 to ₹70,000.00 /month Experience: work: 3 years (Preferred) Accounting: 3 years (Required) Education: Bachelor's (Required)"	0
"Looking for accountant with 1 to 3 years of experience. Job Type: Full-time Salary: ₹15,000.00 to ₹20,000.00 /month Experience: work: 1 year (Preferred) Accounting: 1 year (Preferred) Education: Secondary(10th Pass) (Preferred)"	0
We are looking for an ambitious Accountantto provide support to the financial department by managing daily accounting tasks. You will be part of a team of professionals working to maintain order and transparency for the company’s finances. Job Responsibilities: Post and process journal entries to ensure all business transactions are recorded Update accounts receivable and issue invoices. Update financial data in databases to ensure that information will be accurate and immediately available when needed Prepare and submit weekly/monthly reports Assist senior accountants in the preparation of monthly/yearly closings Assist with other accounting projects Experience & Skills Required: Proven experience as a accountant Excellent organizing abilities Great attention to detail Good with numbers and figures and an analytical acumen Qualification: Bachelor Degree is must. Job Type: Full-time Experience: work: 1 year (Preferred) Accounting: 1 year (Preferred) Education: Bachelor's (Preferred)	0
"need a charted accountant for CA FIRM IN SANTACRUZ CA INTER ALSO REQUIRED THEY CAN ALSO APPLY 316 RAMAS PLAZA NEAR SAMATA BANK KHOTWADI SANTACURZ WEST VIVEK PATEL 961 961 5313 CALL FOR DETAILS Job Type: Full-time Salary: ₹8,086.00 to ₹38,938.00 /month Experience: bookkeeping: 1 year (Preferred) work: 1 year (Preferred) Accounting: 1 year (Preferred) Education: Secondary(10th Pass) (Preferred)"	0
